%time,field.poseStamped.header.seq,field.poseStamped.header.stamp,field.poseStamped.header.frame_id,field.poseStamped.pose.position.x,field.poseStamped.pose.position.y,field.poseStamped.pose.position.z,field.poseStamped.pose.orientation.x,field.poseStamped.pose.orientation.y,field.poseStamped.pose.orientation.z,field.poseStamped.pose.orientation.w,field.redundancy.e1,field.redundancy.status,field.redundancy.turn
1608567002060959100,1869766,1608567002012000000,iiwa_link_0,0.694244019154,0.0232385827648,0.0801651148197,0.0695166689579,0.997182488441,-0.0281256725609,0.00186642242362,-0.0484602506694,2,28
1608567002068034887,1869767,1608567002019000000,iiwa_link_0,0.694244145009,0.0232386677462,0.0801644046342,0.06951669656,0.997182488441,-0.0281256612851,0.00186657713706,-0.0484602506694,2,28
1608567002074064970,1869768,1608567002025000000,iiwa_link_0,0.694244314747,0.0232388290077,0.0801639803631,0.0695166696761,0.997182488441,-0.0281255760798,0.00186687216457,-0.0484601308961,2,28
1608567002079958915,1869769,1608567002031000000,iiwa_link_0,0.694244508164,0.0232388943769,0.0801639111177,0.0695166091001,0.997182488441,-0.0281254417207,0.00186721535019,-0.0484601308961,2,28
1608567002151895046,1869770,1608567002098000000,iiwa_link_0,0.694246432825,0.0232394948188,0.0801626269654,0.0695164332581,0.997182488441,-0.0281250529916,0.00187032648132,-0.0484603705517,2,28
1608567002160837888,1869771,1608567002107000000,iiwa_link_0,0.694246554035,0.0232396119252,0.0801619986005,0.0695162825902,0.997182488441,-0.0281249970521,0.00187043903102,-0.0484602506694,2,28
1608567002166810035,1869772,1608567002113000000,iiwa_link_0,0.694246653325,0.0232395523059,0.0801612055973,0.0695161353635,0.997182548046,-0.0281249554556,0.00187051883905,-0.0484603705517,2,28
1608567002173583030,1869773,1608567002119000000,iiwa_link_0,0.694246567875,0.0232394093804,0.0801604727334,0.0695163714667,0.997182488441,-0.0281249661721,0.00187033968093,-0.048460310665,2,28
1608567002180819988,1869774,1608567002127000000,iiwa_link_0,0.694246644237,0.023239456406,0.0801599309483,0.0695163049666,0.997182488441,-0.0281249854784,0.00187043461639,-0.0484603705517,2,28
1608567002186836957,1869775,1608567002133000000,iiwa_link_0,0.694246845746,0.0232396098788,0.0801597217538,0.0695161178486,0.997182548046,-0.0281249827946,0.00187073805685,-0.0484602506694,2,28
1608567002192970991,1869776,1608567002139000000,iiwa_link_0,0.694247024817,0.0232398400963,0.0801595276502,0.0695158746531,0.997182548046,-0.0281248544821,0.00187105348962,-0.0484602506694,2,28
1608567002199523925,1869777,1608567002145000000,iiwa_link_0,0.694247201661,0.0232396390805,0.0801594284593,0.0695160051361,0.997182548046,-0.0281249550708,0.00187133864513,-0.0484603705517,2,28
1608567002205816030,1869778,1608567002152000000,iiwa_link_0,0.694247443848,0.0232397094781,0.0801594244429,0.0695159451231,0.997182548046,-0.028124817481,0.0018717116222,-0.0484603705517,2,28
